method,oracle,iterations,state_index,state_label,coast_windows,schedule,probability,refined_selected_worst_error,refined_nominal_error,is_best_state,is_pareto_frontier
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,12,"1,3","1,3",101011111111,0.003175784998098433,0.1220328147645346,0.0959828912060053,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,13,"1,4","1,4",101101111111,0.003498653221314212,0.1204727753247888,0.0944954280423753,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,14,"1,5","1,5",101110111111,0.003842709465235227,0.1190988812175266,0.0931277079159516,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,15,"1,6","1,6",101111011111,0.004560186606746966,0.1169007674328321,0.0919928970783734,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,16,"1,7","1,7",101111101111,0.0045715404819980125,0.1168715285214525,0.0909972192763335,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,17,"1,8","1,8",101111110111,0.004913599834017451,0.1160540028861688,0.0902119509752565,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,18,"1,9","1,9",101111111011,0.00522662044442262,0.1153996463390228,0.089581580102083,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,19,"1,10","1,10",101111111101,0.004776141594234737,0.1163684561203088,0.0900833861120399,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,20,"1,11","1,11",101111111110,0.004899090049924277,0.1160863628486099,0.0898190589814615,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,21,"2,3","2,3",110011111111,0.0035914334546203477,0.1200763613068571,0.0940957742327414,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,22,"2,4","2,4",110101111111,0.004008199443835805,0.1185220522104563,0.0925862276531023,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,23,"2,5","2,5",110110111111,0.004463639549042842,0.1171554091632605,0.0912616870145502,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,24,"2,6","2,6",110111011111,0.0054527938763604825,0.1149735931606336,0.0901178588970546,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,25,"2,7","2,7",110111101111,0.005438538696172545,0.1149993999319079,0.0891571357544079,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,26,"2,8","2,8",110111110111,0.005942593047225092,0.1141620992981263,0.0883645548565389,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,27,"2,9","2,9",110111111011,0.006397081559710346,0.1135202585317829,0.0877581454730198,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,28,"2,10","2,10",110111111101,0.006755102481344613,0.1130754666605014,0.0873317846232568,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,29,"2,11","2,11",110111111110,0.006965701603448584,0.1128351842314736,0.0871039579638666,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,30,"3,4","3,4",111001111111,0.004583287354093194,0.1168414300217015,0.0909256944913293,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,31,"3,5","3,5",111010111111,0.004691802845379769,0.116570512455519,0.0903951381636922,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,32,"3,6","3,6",111011011111,0.0065734914276917265,0.113295038429345,0.0884684172016228,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,33,"3,7","3,7",111011101111,0.006560847520569913,0.1133107778055829,0.0875160745396009,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,34,"3,8","3,8",111011110111,0.007316791931647256,0.1124653598327742,0.0867275761235404,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,35,"3,9","3,9",111011111011,0.00800260205934536,0.1118365573713889,0.0861252443770142,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,36,"3,10","3,10",111011111101,0.008561781200631419,0.1113984123495622,0.0857074018370612,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,37,"3,11","3,11",111011111110,0.00890720858904263,0.1111552405063265,0.0854742301616941,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,38,"4,5","4,5",111100111111,0.005937817593498808,0.114169364941278,0.0882980672106216,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,39,"4,6","4,6",111101011111,0.008063918989975877,0.1117855462002078,0.0870040540866545,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,40,"4,7","4,7",111101101111,0.008070085065247872,0.1117804593749539,0.0860540672546965,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,41,"4,8","4,8",111101110111,0.009182886176719493,0.1109742970418852,0.0852856329548239,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,42,"4,9","4,9",111101111011,0.009777660438509271,0.1106186654940508,0.0848385678117192,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,43,"4,10","4,10",111101111101,0.010352292939471198,0.1103138893658083,0.0844993707318208,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,44,"4,11","4,11",111101111110,0.010888004457547841,0.1100587318256398,0.084252010340557,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,45,"5,6","5,6",111110011111,0.009999206081875076,0.1104970118816369,0.0857289332926803,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,46,"5,7","5,7",111110101111,0.009981866771703166,0.110506338340794,0.0847904450393271,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,47,"5,8","5,8",111110110111,0.010968012338889423,0.1100227636164626,0.084209783425242,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,48,"5,9","5,9",111110111011,0.013108483025885083,0.1092234979020253,0.0835274417886752,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,49,"5,10","5,10",111110111101,0.014976547140303755,0.1087126520053793,0.0830687000057041,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,50,"5,11","5,11",111110111110,0.015672684917381583,0.1085534302648595,0.0828857118773277,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,51,"6,7","6,7",111111001111,0.014084352804900387,0.1089397289979715,0.0845270695406818,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,52,"6,8","6,8",111111010111,0.018475634426043438,0.1080337517321387,0.0831481383230866,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,53,"6,9","6,9",111111011011,0.011926549872195484,0.1096293688031891,0.0842113448600271,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,54,"6,10","6,10",111111011101,0.014206141172922087,0.108907051029092,0.0835470447218275,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,55,"6,11","6,11",111111011110,0.013827233202533666,0.1090106092528197,0.0836129097124721,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,56,"7,8","7,8",111111100111,0.01092763176751215,0.1100408512080375,0.0837606396496175,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,57,"7,9","7,9",111111101011,0.012743926198278044,0.1093406558666147,0.0830920473353439,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,58,"7,10","7,10",111111101101,0.03643168427890455,0.1066015821090235,0.0810476473985787,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,59,"7,11","7,11",111111101110,0.03800698361207676,0.1065405044052453,0.0809368364507441,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,60,"8,9","8,9",111111110011,0.03853128487204043,0.1065212838348454,0.080883437738302,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,61,"8,10","8,10",111111110101,0.06052081577813054,0.1060150397456055,0.0804233993981003,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,62,"8,11","8,11",111111110110,0.08488127175334306,0.1057604557916291,0.0801941566313433,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,63,"9,10","9,10",111111111001,0.11262927848589015,0.1056046330372665,0.0800023959937852,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,64,"9,11","9,11",111111111010,0.08967359033194278,0.105726654638994,0.0799816888012589,False,False
grover_warm_thresholdle0p105574892545_r0,threshold<=0.105574892545,0,65,"10,11","10,11",111111111100,0.1201242112368671,0.1055748925448516,0.079764649073177,True,True
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,0,"0,1","0,1",001111111111,0.000635677371372171,0.1279209916614097,0.1017331766442661,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,1,"0,2","0,2",010111111111,0.0006964953994493271,0.125930703429425,0.0997995881226162,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,2,"0,3","0,3",011011111111,0.0007614738050950897,0.124155555806852,0.0980705717582038,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,3,"0,4","0,4",011101111111,0.0008300389185773583,0.1225837878904666,0.0965390115391322,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,4,"0,5","0,5",011110111111,0.000902179677406213,0.1211879729108648,0.0951860134202738,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,5,"0,6","0,6",011111011111,0.001044342509200866,0.1190017788295605,0.0940369402848986,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,6,"0,7","0,7",011111101111,0.0010444299713921175,0.1190006170152644,0.0930474381590215,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,7,"0,8","0,8",011111110111,0.0011102863171876315,0.1181777645782417,0.0922608487170639,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,8,"0,9","0,9",011111111011,0.0011713501825852814,0.1174974634376517,0.091618457987335,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,9,"0,10","0,10",011111111101,0.0012168210372650737,0.1170352332527989,0.0911782310185686,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,10,"0,11","0,11",011111111110,0.0012401423066589418,0.1168113134014621,0.0909584128443555,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,11,"1,2","1,2",100111111111,0.000777064254315915,0.1237738002442984,0.0976965248368716,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,12,"1,3","1,3",101011111111,0.000857092059804137,0.1220328147645346,0.0959828912060053,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,13,"1,4","1,4",101101111111,0.000944228875000069,0.1204727753247888,0.0944954280423753,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,14,"1,5","1,5",101110111111,0.0010370839879775867,0.1190988812175266,0.0931277079159516,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,15,"1,6","1,6",101111011111,0.001230719250266719,0.1169007674328321,0.0919928970783734,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,16,"1,7","1,7",101111101111,0.0012337834741771871,0.1168715285214525,0.0909972192763335,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,17,"1,8","1,8",101111110111,0.0013260996589230544,0.1160540028861688,0.0902119509752565,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,18,"1,9","1,9",101111111011,0.0014105787656302018,0.1153996463390228,0.089581580102083,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,19,"1,10","1,10",101111111101,0.0012890019442027695,0.1163684561203088,0.0900833861120399,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,20,"1,11","1,11",101111111110,0.001322183707199881,0.1160863628486099,0.0898190589814615,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,21,"2,3","2,3",110011111111,0.0009692687317035545,0.1200763613068571,0.0940957742327414,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,22,"2,4","2,4",110101111111,0.0010817470072690823,0.1185220522104563,0.0925862276531023,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,23,"2,5","2,5",110110111111,0.0012046627897049351,0.1171554091632605,0.0912616870145502,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,24,"2,6","2,6",110111011111,0.0014716192494062328,0.1149735931606336,0.0901178588970546,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,25,"2,7","2,7",110111101111,0.0014677720110832758,0.1149993999319079,0.0891571357544079,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,26,"2,8","2,8",110111110111,0.0016038079777042995,0.1141620992981263,0.0883645548565389,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,27,"2,9","2,9",110111111011,0.0017264669409390743,0.1135202585317829,0.0877581454730198,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,28,"2,10","2,10",110111111101,0.0018230908904067567,0.1130754666605014,0.0873317846232568,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,29,"2,11","2,11",110111111110,0.0018799281244969463,0.1128351842314736,0.0871039579638666,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,30,"3,4","3,4",111001111111,0.001236953761462486,0.1168414300217015,0.0909256944913293,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,31,"3,5","3,5",111010111111,0.0012662403051054468,0.116570512455519,0.0903951381636922,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,32,"3,6","3,6",111011011111,0.0017740770585032261,0.113295038429345,0.0884684172016228,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,33,"3,7","3,7",111011101111,0.0017706646762401014,0.1133107778055829,0.0875160745396009,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,34,"3,8","3,8",111011110111,0.0019746816209563396,0.1124653598327742,0.0867275761235404,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,35,"3,9","3,9",111011111011,0.002159770477832754,0.1118365573713889,0.0861252443770142,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,36,"3,10","3,10",111011111101,0.0023106837173282975,0.1113984123495622,0.0857074018370612,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,37,"3,11","3,11",111011111110,0.0024039088796183766,0.1111552405063265,0.0854742301616941,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,38,"4,5","4,5",111100111111,0.0016025191614043263,0.114169364941278,0.0882980672106216,False,False
grover_warm_thresholdle0p105574892545_r1,threshold<=0.105574892545,1,39,"4,6","4,6",111101011111,0.002176318907404167,0.1117855462002078,0.0870040540866545,False,False
